cx,cy
574306.5837530239,6139703.527103419
574367.3314788226,6139665.189317406
574261.3009887128,6139622.171554411
574431.764882081,6139631.427279601
574149.2749714368,2050623876.9320066
574506.5936491155,6139595.931109655
574582.4445502913,6139558.794390967
574101.5607514471,2050623857.0144045
574345.6953667635,6139593.595976788
574094.4595836772,2050622214.8446918
574401.9364934703,6139557.551276773
574142.1738451092,2050623756.8168073
574346.7002318237,6139477.449492905
574470.4159840896,6139513.344173587
574244.0085712321,6139475.182524807
573908.4009759498,6139484.766302346
574003.852710575,6139462.6344716605
574540.9791976952,6139468.063416261
574424.6219414786,6139422.451394406
573868.410633705,6139356.651128464
574108.434578309,6139411.90433662
574496.0476482776,6139378.492333957
574203.3942163466,6139369.877172088
573990.8666020358,6139358.986582128
574295.3450134994,6139339.6375702005
573641.9527761174,6139361.793804881
573545.8309543779,6139358.962344834
574071.1270363955,6139316.517428394
191843254.29565287,6139274.111628405
191843366.84885564,6139254.994470098
574163.8625282268,6139272.7474612165
573754.3152123366,6139219.024653801
573856.987280992,6139205.575669052
191910524.1003647,6139284.720955091
573650.1210007548,6139261.659935853
573576.3569599515,6139263.781332003
574248.4144720369,6139233.798525569
573524.9333875291,6139247.345105346
574030.4102934762,6139211.113709133
574617.412692221,6139188.337898673
191843212.39569092,6139217.759750567
574116.3321758853,6139152.779249723
191843615.80620033,6139198.642321547
574713.7728278445,6139142.342971991
573657.7266803951,6139163.09072024
574235.6330718446,6139107.476660308
573598.6359907043,6139173.802557207
573547.0967980183,6139152.480989231
574475.7567955422,6139126.346987811
573985.5301912845,6139106.594248322
574801.2494248664,6139101.798360944
574567.5303138141,6139083.152283048
574345.0338827234,6139054.522133096
573865.8197349096,6139075.221407259
573766.700156013,6139070.635764807
573665.5040530664,6139062.634641184
191945874.3140941,6139002.755257954
573560.833492541,6139054.067899565
574423.5366349928,6139018.1490642335
573943.5901014266,6139054.453660438
574229.7669825132,2050394026.9460678
191946006.22306588,6138986.878981801
574095.3890006772,6138992.851898229
574520.851068225,6138976.407761667
573965.4786008934,2050402106.6722202
573896.3473866225,2050402107.4161534
573775.1471668788,6138967.547984243
574260.9472798059,2050394674.209083
573673.5765169167,6138959.555153695
574640.3606522202,6138980.494585972
191945827.2630834,6138958.624566363
574371.519873797,6138868.674513684
574600.1240919814,6138897.821320173
574209.9837498561,2050393755.7135823
574092.9342348813,6138890.332479452
573971.3884912804,2050401968.6798894
574502.767913033,6138863.941727335
573902.25727493,2050401967.9267814
573783.3638403633,6138863.892019783
574739.037927943,6138830.403396767
573681.2853702843,6138855.911477636
574241.1640712646,2050393860.642203
574635.1767085049,6138795.012610758
574442.6444013052,6138819.715548378
574116.9013725591,6138758.172354776
574265.7280125952,6138703.393264241
574538.723001825,6138762.903298201
573998.5717359952,6138778.462408046
574303.9151948625,6138800.3621627595
573894.9565548361,6138770.019373832
573791.3352582841,6138761.838333658
573689.2828001198,6138753.986142735
574434.8255521883,6138734.255739163
574189.2391441873,6138752.735782778
573585.0557750221,6138745.768982632
574767.0867256254,6138698.84722952
574666.8544156596,6138709.652766486
574007.209163724,6138675.823153837
574349.9585252723,6138685.177839077
574570.2326899818,6138672.293236583
573903.2550555891,6138667.148024377
573799.1850266696,6138659.202451721
574465.0130120319,6138638.1217143545
574697.994763084,6138634.179122422
573697.1912060671,6138651.396168475
573591.7608001085,6138643.036086093
574382.747014774,6138599.682006395
574607.9775707873,6138594.7916840445
574133.5653022638,6138612.6988392295
574759.8099031519,6138551.72217874
574019.4463256849,6138577.6409828225
574196.0045129121,6138565.378446874
573911.5884172673,6138564.455955946
574519.8509112765,6138549.3368648095
574214.146766376,6138586.169391448
573807.4667311332,6138556.270171561
574235.30481978,2050282403.6905403
574235.3048302587,2050281823.980884
574124.2630491694,6138537.632719574
573705.5021138057,6138548.341031248
573625.0872797152,6138200.851419009
574637.0378988612,6138524.211787206
574443.2337174709,6138511.64163753
574365.7086009182,6138501.632297601
574206.4184091265,6138498.742562787
574009.100279377,6138480.389832656
574556.3521842109,6138483.343781355
574790.6823275569,6138440.101164318
574662.6692274004,6138471.995022455
573919.3924746152,6138461.69979517
574100.1064361223,6138446.972480749
573815.7905401484,6138453.287717611
575629.0538538508,6138422.6273067985
573713.6466494141,6138445.452498623
574498.0490029756,6138421.535906715
574705.318875363,6138384.525107883
574583.5521707227,6138431.941386224
574189.253281761,6138414.01705464
574381.908707838,6138445.220563178
574285.3679844075,6138420.546837032
574421.6843444011,6138387.464427723
574634.5701634197,6138349.371472064
574338.814725195,6138349.365588513
574063.8992913612,6138358.529253074
573997.8045550756,6138380.33859889
573927.7001549191,6138359.42590892
573824.4312733198,6138350.706056681
574550.3598702536,6138332.92875601
575638.0522953452,6138318.412366317
573721.9378389558,6138342.505365467
574174.8815617729,6138313.024549994
575527.4515436562,6138308.870673614
574265.9863111011,6138306.576081441
575380.896727617,6138295.665271491
574822.8818234953,6138305.12823115
574465.0964040215,6138294.935618847
575223.4091502577,6138282.488670701
574754.030083668,6138272.36120825
574948.5470702642,6138258.739310921
575120.9566980812,6138277.070381399
573928.311971204,6138261.21120292
574029.7039392345,6138277.601244979
574381.9043848487,6138256.4459128985
574639.4339573041,6138267.9836918665
574579.4239049262,6138247.173988692
575034.9546297771,6138286.2922557965
575061.6176692974,6138260.993983825
573832.6769413084,6138248.180480916
574156.9639574771,6138218.84311592
573730.4262783815,6138240.1811958
575647.9088040546,6138209.172896752
574863.4123848054,6138186.587751346
574288.8007607602,6138210.688476914
574504.2726595878,6138212.744597893
575538.0114602741,6138199.85805315
575037.3135436914,6138184.139190891
575442.8178039517,6138191.040946427
574693.1195445529,6138206.343057473
575337.1764300159,6138181.379568651
573997.946272829,6138177.549373043
575234.4618180814,6138174.699240999
574420.7265834091,6138174.075431027
575145.8049422543,6138195.568017123
574618.6249263982,6138168.317440425
574080.5453248923,6138136.157131683
574741.2678775256,6138153.911802998
573925.2792870802,6138151.870888246
573840.7287642059,6138145.204304414
575103.6969920188,6138121.036428824
574323.3774165991,6138128.60465552
574543.796179629,6138128.542868467
573738.4105768984,6138137.220072916
574233.0155186588,6138154.9479898745
574957.9378079874,6138105.51492792
575656.3137763157,6138072.658634364
574159.5037903443,6138097.2856581025
574789.9459129898,6138096.467995062
575548.7382797325,6138089.887924029
574653.4156392519,6138102.602943069
574437.8828928717,6138058.921886026
575180.0311101725,6138061.098585637
575402.6682495407,6138075.48829156
574239.8466818556,6138087.166395483
575268.2750563506,6138095.09967017
575024.7073469815,6138042.240400881
574349.9445688851,6138047.508043718
574590.6120386937,6138034.544931672
574904.7664956326,6138053.599819983
574684.1435311344,6138045.203131761
573933.9378770739,6138027.963706283
573979.6506793892,6138064.163939937
574821.3055283774,6138022.519275796
573850.8246699774,6138017.6230325475
574199.7106095777,6138046.074392784
574041.6565728699,6138038.633747025
573748.2814879406,6138009.723957963
575268.9126073768,6137981.893117298
574506.9826652447,6137992.123207084
574283.9390719682,6137984.706276247
575099.8049978631,6137977.074091203
575556.9141370878,6137984.376448472
574125.9965557309,6138004.554683645
574956.6229787028,6137987.149690409
575468.3393945004,6137960.590893005
575694.4763016835,2050038624.5787442
574717.1590699923,6137976.647620848
575390.7593131539,6137984.319221618
574204.5270632408,6137921.206764437
574011.9128517128,6137972.980288363
574859.5930787667,6137947.0043037115
574410.2370793481,6137943.917198115
574633.1846373234,6137942.202754782
575371.8978546504,6137883.901185352
