GID,COD_RECORRIDO,NRO_SERIE,MATERIAL,CAPACIDAD,POINT,DEMANDA_POBLACION,DEMANDA
12249,D_DU_RM_CL_02,D_02_64,Metal,2400,"-34.847242114301935,-56.16166551034863",136.455392142753,5.0251901002
12250,D_DU_RM_CL_02,D_02_61,Metal,2400,"-34.84569990169497,-56.1634668908941",123.865601457691,5.5359541119
12252,D_DU_RM_CL_02,D_02_9,Metal,2400,"-34.854212989370865,-56.162069570019085",57.1326423577092,12.0021454884
12253,D_DU_RM_CL_02,D_02_12,Metal,2400,"-34.85659087386256,-56.16405261999147",65.3314203115578,10.495934153
12254,D_DU_RM_CL_02,D_02_51,Metal,2400,"-34.85001723429084,-56.170558415917526",86.8177403425256,7.8983198942
12255,D_DU_RM_CL_02,D_02_23,Metal,2400,"-34.85236225102723,-56.17028762513796",115.079302593131,5.9586239251
12256,D_DU_RM_CL_02,D_02_26,Metal,2400,"-34.85333085746022,-56.16717551031363",205.535983697168,3.3362249927
12259,D_DU_RM_CL_02,D_02_27,Metal,2400,"-34.853013867910946,-56.16690172807094",119.870048384805,5.7204805951
12260,E_DU_RM_CL_14,E_14_74,Metal,2400,"-34.88930275724175,-56.06722399176754",26.7443313243632,25.6396122751
12262,E_DU_RM_CL_14,E_14_36,Metal,2400,"-34.88888957814958,-56.05384602179852",45.618708471368,15.0314269889
12263,E_DU_RM_CL_14,E_14_41,Metal,2400,"-34.88707703635641,-56.0598499939359",20.0026132315793,34.2812350454
12264,E_DU_RM_CL_14,E_14_42,Metal,2400,"-34.88705551633194,-56.059894988161524",19.4535583139652,35.2487845487
12265,E_DU_RM_CL_14,E_14_51,Metal,2400,"-34.88767446716693,-56.054635136985404",52.3240801085009,13.1051379077
12266,E_DU_RM_CL_14,E_14_64,Volúmen,0,"-34.89068963728508,-56.06797447384717",56.8773135252063,1
12267,E_DU_RM_CL_14,E_14_60,Metal,2400,"-34.888184260234326,-56.06400291510611",29.2748066844574,23.4233582857
12269,E_DU_RM_CL_16,E_16_11,Metal,2400,"-34.876083089272996,-56.04692493027287",40.0551811422248,17.1192406615
12270,E_DU_RM_CL_16,E_16_7,Plastico,3200,"-34.875512898191985,-56.04025766735951",22.8081747394792,40.0858781875
12272,E_DU_RM_CL_16,E_16_8,Metal,2400,"-34.87564612648657,-56.04221717869771",24.245120538894,28.2825686354
12273,E_DU_RM_CL_16,E_16_12,Metal,2400,"-34.876250595082226,-56.04877564824239",37.963560654645,18.0624333938
12275,E_DU_RM_CL_14,E_14_94,Metal,2400,"-34.89561970432769,-56.06436152400038",38.532364463306,17.7958008875
12276,E_DU_RM_CL_14,E_14_90,Metal,2400,"-34.895730165295426,-56.06299918383665",66.4081646442935,10.3257527051
12277,E_DU_RM_CL_14,E_14_97,Metal,2400,"-34.89450474352351,-56.06240084698156",69.2187088118566,9.9064876749
12278,E_DU_RM_CL_14,E_14_96,Metal,2400,"-34.89413234981339,-56.06347594675905",40.8275233091897,16.7953926698
12279,E_DU_RM_CL_14,E_14_88,Plastico,3200,"-34.893832234559326,-56.06595049891279",39.0415810664927,23.4182553398
12280,E_DU_RM_CL_14,E_14_99,Metal,2400,"-34.898520894958146,-56.064035517411156",26.0173217352764,26.3560674189
12282,E_DU_RM_CL_14,E_14_89,Metal,2400,"-34.89460629654582,-56.064994373112086",88.5478551847558,7.7439965574
