desde hasta duracion
0 1 82
0 2 63
0 3 79
0 4 126
0 5 71
0 6 76
0 7 85
0 8 87
0 9 127
0 10 37
0 11 93
0 12 94
0 13 149
0 14 67
0 15 123
0 16 83
0 17 117
0 18 131
0 19 142
0 20 96
0 21 56
0 22 42
0 23 66
0 24 44
0 25 71
0 26 133
0 27 3
0 28 41
0 29 108
0 30 114
0 31 115
0 32 30
0 33 13
0 34 74
0 35 62
0 36 74
0 37 66
0 38 112
0 39 60
0 40 108
0 41 107
0 42 56
0 43 61
0 44 61
0 45 46
0 46 60
0 48 82
0 47 82
0 49 20
0 50 41
0 51 92
0 52 45
0 53 85
0 54 66
0 55 69
0 56 66
0 57 95
0 58 47
0 59 115
0 60 123
0 61 79
0 62 111
0 63 115
0 64 32
0 65 87
0 66 85
0 67 94
0 68 110
0 69 9
0 70 37
0 71 16
0 72 23
0 73 27
0 74 65
0 75 130
0 76 58
0 77 89
0 78 34
0 79 61
0 80 73
0 81 62
0 82 63
0 83 127
0 84 58
0 85 42
0 86 60
0 87 48
0 88 26
0 89 107
0 90 107
0 91 69
0 92 143
0 93 26
0 94 89
0 95 19
0 96 82
0 97 85
0 98 89
0 99 97
0 100 89
0 101 121
0 102 83
0 103 129
0 104 65
0 105 138
0 106 133
0 107 65
0 108 131
0 109 67
0 110 82
0 111 114
0 112 65
0 113 75
0 114 110
0 115 118
0 116 53
1 0 106
1 2 129
1 3 75
1 4 214
1 5 137
1 6 102
1 7 177
1 8 178
1 9 233
1 10 69
1 11 119
1 12 120
1 13 173
1 14 173
1 15 229
1 16 77
1 17 223
1 18 237
1 19 60
1 20 161
1 21 121
1 22 107
1 23 173
1 24 110
1 25 136
1 26 221
1 27 109
1 28 147
1 29 196
1 30 180
1 31 180
1 32 76
1 33 118
1 34 139
1 35 127
1 36 180
1 37 172
1 38 138
1 39 157
1 40 134
1 41 133
1 42 153
1 43 172
1 44 167
1 45 153
1 46 167
1 47 188
1 48 188
1 49 126
1 50 147
1 51 158
1 52 151
1 53 191
1 54 172
1 55 175
1 56 172
1 57 132
1 58 153
1 59 180
1 60 41
1 61 82
1 62 217
1 63 221
1 64 138
1 65 153
1 66 100
1 67 131
1 68 194
1 69 114
1 70 69
1 71 122
1 72 129
1 73 132
1 74 91
1 75 218
1 76 83
1 77 155
1 78 140
1 79 87
1 80 111
1 81 168
1 82 169
1 83 215
1 84 124
1 85 108
1 86 125
1 87 154
1 88 80
1 89 133
1 90 195
1 91 175
1 92 249
1 93 80
1 94 155
1 95 125
1 96 97
1 97 169
1 98 115
1 99 123
1 100 174
1 101 227
1 102 189
1 103 47
1 104 131
1 105 56
1 106 239
1 107 171
1 108 237
1 109 173
1 110 99
1 111 220
1 112 171
1 113 100
1 114 198
1 115 224
1 116 159
2 0 125
2 1 19
2 3 94
2 4 172
2 5 95
2 6 121
2 7 135
2 8 136
2 9 195
2 10 88
2 11 138
2 12 139
2 13 192
2 14 192
2 15 232
2 16 96
2 17 226
2 18 198
2 19 79
2 20 119
2 21 79
2 22 126
2 23 192
2 24 129
2 25 94
2 26 179
2 27 128
2 28 166
2 29 154
2 30 138
2 31 138
2 32 95
2 33 137
2 34 97
2 35 85
2 36 199
2 37 191
2 38 157
2 39 176
2 40 153
2 41 152
2 42 172
2 43 191
2 44 186
2 45 172
2 46 186
2 47 207
2 48 207
2 49 145
2 50 166
2 51 116
2 52 170
2 53 194
2 54 191
2 55 194
2 56 191
2 57 151
2 58 172
2 59 138
2 60 60
2 61 16
2 62 219
2 63 223
2 64 157
2 65 111
2 66 22
2 67 150
2 68 152
2 69 133
2 70 88
2 71 141
2 72 148
2 73 151
2 74 110
2 75 176
2 76 102
2 77 113
2 78 159
2 79 106
2 80 130
2 81 187
2 82 188
2 83 173
2 84 82
2 85 127
2 86 83
2 87 173
2 88 99
2 89 152
2 90 153
2 91 130
2 92 211
2 93 99
2 94 113
2 95 144
2 96 19
2 97 127
2 98 134
2 99 142
2 100 132
2 101 230
2 102 191
2 103 66
2 104 2
2 105 75
2 106 200
2 107 190
2 108 199
2 109 192
2 110 19
2 111 220
2 112 190
2 113 119
2 114 156
2 115 224
2 116 178
3 0 130
3 1 24
3 2 153
3 4 175
3 5 98
3 6 126
3 7 138
3 8 139
3 9 198
3 10 93
3 11 143
3 12 144
3 13 197
3 14 196
3 15 235
3 16 101
3 17 229
3 18 201
3 19 84
3 20 122
3 21 82
3 22 131
3 23 197
3 24 134
3 25 97
3 26 182
3 27 133
3 28 171
3 29 157
3 30 141
3 31 141
3 32 100
3 33 142
3 34 100
3 35 88
3 36 204
3 37 196
3 38 162
3 39 181
3 40 158
3 41 157
3 42 177
3 43 196
3 44 191
3 45 177
3 46 191
3 47 212
3 48 212
3 49 150
3 50 171
3 51 119
3 52 175
3 53 197
3 54 202
3 55 199
3 56 197
3 57 157
3 58 179
3 59 141
3 60 65
3 61 7
3 62 222
3 63 226
3 64 162
3 65 114
3 66 25
3 67 156
3 68 155
3 69 138
3 70 93
3 71 146
3 72 153
3 73 156
3 74 115
3 75 179
3 76 107
3 77 116
3 78 164
3 79 111
3 80 135
3 81 192
3 82 193
3 83 176
3 84 85
3 85 132
3 86 86
3 87 178
3 88 104
3 89 157
3 90 156
3 91 133
3 92 214
3 93 104
3 94 116
3 95 149
3 96 22
3 97 130
3 98 139
3 99 147
3 100 135
3 101 233
3 102 194
3 103 71
3 104 155
3 105 80
3 106 203
3 107 195
3 108 202
3 109 197
3 110 24
3 111 223
3 112 195
3 113 124
3 114 159
3 115 227
3 116 183
4 0 160
4 1 152
4 2 183
4 3 128
4 5 160
4 6 155
4 7 200
4 8 201
4 9 240
4 10 123
4 11 173
4 12 174
4 13 187
4 14 240
4 15 245
4 16 130
4 17 240
4 18 183
4 19 113
4 20 74
4 21 144
4 22 161
4 23 240
4 24 163
4 25 49
4 26 198
4 27 163
4 28 201
4 29 195
4 30 86
4 31 80
4 32 130
4 33 172
4 34 39
4 35 37
4 36 234
4 37 226
4 38 192
4 39 211
4 40 188
4 41 187
4 42 207
4 43 226
4 44 220
4 45 206
4 46 220
4 47 242
4 48 242
4 49 180
4 50 201
4 51 181
4 52 205
4 53 231
4 54 226
4 55 228
4 56 241
4 57 185
4 58 206
4 59 80
4 60 94
4 61 135
4 62 174
4 63 179
4 64 192
4 65 176
4 66 153
4 67 184
4 68 201
4 69 168
4 70 123
4 71 176
4 72 183
4 73 186
4 74 145
4 75 4
4 76 137
4 77 178
4 78 194
4 79 141
4 80 164
4 81 221
4 82 222
4 83 1
4 84 147
4 85 162
4 86 148
4 87 208
4 88 134
4 89 187
4 90 198
4 91 195
4 92 177
4 93 134
4 94 178
4 95 179
4 96 150
4 97 192
4 98 169
4 99 177
4 100 197
4 101 243
4 102 234
4 103 100
4 104 185
4 105 109
4 106 155
4 107 224
4 108 184
4 109 226
4 110 152
4 111 175
4 112 225
4 113 154
4 114 197
4 115 179
4 116 213
5 0 104
5 1 95
5 2 76
5 3 169
5 4 77
5 6 180
5 7 39
5 8 40
5 9 100
5 10 141
5 11 197
5 12 198
5 13 254
5 14 99
5 15 137
5 16 171
5 17 131
5 18 103
5 19 154
5 20 134
5 21 88
5 22 145
5 23 100
5 24 147
5 25 103
5 26 84
5 27 100
5 28 77
5 29 59
5 30 147
5 31 147
5 32 134
5 33 101
5 34 106
5 35 94
5 36 166
5 37 157
5 38 216
5 39 122
5 40 212
5 41 211
5 42 118
5 43 138
5 44 94
5 45 80
5 46 94
5 47 139
5 48 139
5 49 109
5 50 76
5 51 20
5 52 81
5 53 99
5 54 104
5 55 102
5 56 100
5 57 57
5 58 80
5 59 147
5 60 135
5 61 92
5 62 124
5 63 128
5 64 94
5 65 14
5 66 98
5 67 57
5 68 58
5 69 97
5 70 141
5 71 105
5 72 112
5 73 115
5 74 169
5 75 81
5 76 162
5 77 18
5 78 97
5 79 165
5 80 176
5 81 96
5 82 96
5 83 78
5 84 91
5 85 145
5 86 92
5 87 83
5 88 130
5 89 211
5 90 58
5 91 34
5 92 116
5 93 130
5 94 18
5 95 108
5 96 95
5 97 33
5 98 193
5 99 201
5 100 37
5 101 135
5 102 96
5 103 141
5 104 78
5 105 150
5 106 147
5 107 98
5 108 104
5 109 101
5 110 94
5 111 127
5 112 157
5 113 179
5 114 61
5 115 131
5 116 117
6 0 81
6 1 103
6 2 102
6 3 79
6 4 187
6 5 110
6 7 150
6 8 151
6 9 210
6 10 63
6 11 17
6 12 18
6 13 153
6 14 148
6 15 204
6 16 83
6 17 198
6 18 213
6 19 163
6 20 134
6 21 94
6 22 80
6 23 147
6 24 83
6 25 109
6 26 194
6 27 84
6 28 122
6 29 169
6 30 153
6 31 153
6 32 64
6 33 93
6 34 112
6 35 100
6 36 99
6 37 90
6 38 36
6 39 55
6 40 32
6 41 31
6 42 51
6 43 70
6 44 142
6 45 127
6 46 141
6 47 163
6 48 163
6 49 101
6 50 122
6 51 131
6 52 126
6 53 166
6 54 147
6 55 150
6 56 147
6 57 134
6 58 128
6 59 153
6 60 144
6 61 86
6 62 192
6 63 196
6 64 112
6 65 126
6 66 104
6 67 133
6 68 167
6 69 89
6 70 63
6 71 97
6 72 104
6 73 107
6 74 65
6 75 191
6 76 58
6 77 128
6 78 114
6 79 62
6 80 112
6 81 143
6 82 144
6 83 188
6 84 97
6 85 81
6 86 98
6 87 129
6 88 74
6 89 31
6 90 168
6 91 145
6 92 226
6 93 74
6 94 128
6 95 100
6 96 101
6 97 142
6 98 13
6 99 21
6 100 147
6 101 202
6 102 164
6 103 150
6 104 104
6 105 159
6 106 216
6 107 146
6 108 214
6 109 148
6 110 103
6 111 195
6 112 89
6 113 101
6 114 171
6 115 199
6 116 134
7 0 162
7 1 56
7 2 37
7 3 131
7 4 142
7 5 65
7 6 158
7 8 1
7 9 165
7 10 125
7 11 175
7 12 176
7 13 215
7 14 163
7 15 202
7 16 133
7 17 196
7 18 168
7 19 116
7 20 89
7 21 49
7 22 163
7 23 164
7 24 166
7 25 64
7 26 149
7 27 165
7 28 144
