AREA,PERIMETER,CODCOMP,DEPTO,LOCALIDAD,SECCION,SEGMENTO,ZONA,CCZ,ASENTA,TOT_VIV,VIV_PAR,VIV_CO,VP_OCUPAD,VP_DESO,HOG_PAR,TOT_POB,CAT_POB,ED_0_5,ED_6_14,ED_15_24,ED_25_64,ED_65,CODSEG,CODSEC,CENTROIDE_LAT,CENTROIDE_LONG,CENT_X_SEGUN_ARCH,CENT_Y_SEGUN_ARCH
6522.960938,385.803870,108004003,1,20,8,4,3,3,NO,33,33,0,31,2,31,85,3,6,8,10,45,16,108004,108,-34.8823379484,-56.1868678267,574306.5837530239,6139703.527103419
6151.187500,325.972403,108004008,1,20,8,4,8,3,NO,23,23,0,12,11,13,30,2,1,4,7,14,4,108004,108,-34.8826791812,-56.1861997199,574367.3314788226,6139665.189317406
16893.007813,548.164486,108004002,1,20,8,4,2,3,NO,37,37,0,34,3,35,84,3,1,5,17,45,16,108004,108,-34.8830748206,-56.1873560877,574261.3009887128,6139622.171554411
8507.914063,371.297816,108004009,1,20,8,4,9,3,NO,49,49,0,46,3,48,130,4,8,8,18,74,22,108004,108,-34.8829788818,-56.1854916859,574431.764882081,6139631.427279601
8399.093750,424.616826,108004001,1,20,8,4,1,3,NO,43,42,1,36,6,38,129,4,3,14,18,58,36,108004,108,90.0,-57.0,574149.2749714368,2050623876.9320066
8755.265625,377.094303,108004011,1,20,8,4,11,3,NO,22,21,1,18,3,19,61,3,1,7,6,24,23,108004,108,-34.8832934515,-56.1846697456,574506.5936491155,6139595.931109655
9280.375000,387.810724,108004016,1,20,8,4,16,3,NO,58,58,0,51,7,51,134,4,7,17,19,64,27,108004,108,-34.8836227329,-56.1838364684,574582.4445502913,6139558.794390967
647.929688,129.790613,108004400,1,20,8,4,400,,,,,,,,,,,,,,,,108004,108,90.0,-57.0,574101.5607514471,2050623857.0144045
2046.992188,185.147234,108004007,1,20,8,4,7,3,NO,14,14,0,12,2,20,35,2,2,2,6,20,5,108004,108,-34.8833263017,-56.1864301003,574345.6953667635,6139593.595976788
12753.609375,483.908575,108002004,1,20,8,2,4,3,NO,58,58,0,49,9,49,152,4,6,18,25,86,17,108002,108,90.0,-57.0,574094.4595836772,2050622214.8446918
4623.718750,279.052133,108004010,1,20,8,4,10,3,NO,23,23,0,19,4,22,55,3,2,12,12,24,5,108004,108,-34.883647186,-56.1858114995,574401.9364934703,6139557.551276773
12317.250000,445.615746,108004004,1,20,8,4,4,3,NO,81,81,0,67,14,71,172,4,13,13,24,91,31,108004,108,90.0,-57.0,574142.1738451092,2050623756.8168073
16001.929688,536.501111,108004006,1,20,8,4,6,3,NO,30,29,1,26,3,28,102,4,9,14,8,58,13,108004,108,-34.8843734864,-56.1864087833,574346.7002318237,6139477.449492905
5889.054688,310.291320,108004012,1,20,8,4,12,3,NO,26,26,0,16,10,17,45,2,2,3,8,22,10,108004,108,-34.8840407674,-56.185058253,574470.4159840896,6139513.344173587
12271.117188,439.906975,108004005,1,20,8,4,5,3,NO,18,18,0,14,4,14,43,2,3,5,5,20,10,108004,108,-34.884401442,-56.1875322578,574244.0085712321,6139475.182524807
6312.382813,363.848478,108002013,1,20,8,2,13,3,NO,38,38,0,36,2,38,123,4,12,15,25,54,17,108002,108,-34.8843395155,-56.1912054035,573908.4009759498,6139484.766302346
12490.421875,466.353180,108002003,1,20,8,2,3,3,NO,22,22,0,21,1,21,50,3,1,2,9,30,8,108002,108,-34.8845321185,-56.1901589905,574003.852710575,6139462.6344716605
7873.968750,357.308487,108004015,1,20,8,4,15,3,NO,3,3,0,0,3,0,0,1,0,0,0,0,0,108004,108,-34.8844438719,-56.1842821032,574540.9791976952,6139468.063416261
10627.679688,424.156788,108004013,1,20,8,4,13,3,NO,25,25,0,24,1,26,77,3,8,9,15,33,12,108004,108,-34.8848636784,-56.1855512535,574424.6219414786,6139422.451394406
39654.992188,866.443042,108002002,1,20,8,2,2,3,NO,116,116,0,89,27,95,262,5,21,27,42,137,35,108002,108,-34.8854976037,-56.1916316746,573868.410633705,6139356.651128464
10850.257813,416.730918,108003001,1,20,8,3,1,3,NO,15,14,1,9,5,9,38,2,1,5,2,13,17,108003,108,-34.8849819084,-56.1890101349,574108.434578309,6139411.90433662
9401.078125,393.385995,108004014,1,20,8,4,14,3,NO,23,23,0,17,6,18,46,2,6,3,5,26,6,108004,108,-34.8852548052,-56.1847657782,574496.0476482776,6139378.492333957
11238.226563,423.785268,108003004,1,20,8,3,4,3,NO,26,25,1,22,3,22,54,3,3,7,3,25,16,108003,108,-34.8853539186,-56.1879673289,574203.3942163466,6139369.877172088
7816.296875,375.207256,108002005,1,20,8,2,5,3,NO,41,41,0,35,6,35,102,4,3,10,15,50,24,108002,108,-34.8854676279,-56.1902919205,573990.8666020358,6139358.986582128
11616.875000,436.999571,108003007,1,20,8,3,7,3,NO,80,80,0,70,10,71,209,5,20,27,16,116,30,108003,108,-34.8856198549,-56.1869584845,574295.3450134994,6139339.6375702005
